date,open,high,low,close,volume
3/16/2024 19:00,67030.6,67699,66890.2,66911.52,3261.62146
3/16/2024 20:00,66911.51,67538.49,66739.81,67129.19,2592.04897
3/16/2024 21:00,67129.19,67241.1,66015.89,66243.28,3430.96214
3/16/2024 22:00,66243.29,66786.44,65804,66361.11,2832.3171
3/16/2024 23:00,66361.11,66375.07,64780,65300.63,6594.27793
3/17/2024 0:00,65300.64,66305.54,65122.23,65220.55,4363.81885
3/17/2024 1:00,65220.55,66190,65220.55,66174.74,2954.80364
3/17/2024 2:00,66174.74,66565,66030,66364.17,1779.4647
3/17/2024 3:00,66364.17,66576.39,66197.43,66538.99,1092.33962
3/17/2024 4:00,66538.99,66560,66261.13,66351.76,963.55452
3/17/2024 5:00,66351.75,66531.61,66000,66235.68,1125.26443
3/17/2024 6:00,66235.67,66354.42,64940.13,64961.11,2833.47096
3/17/2024 7:00,64961.1,65776.87,64533,65636.67,4662.77172
3/17/2024 8:00,65636.68,66714.99,65290,66521.1,2914.1039
3/17/2024 9:00,66521.11,66817.33,66260,66461.25,2075.22066
3/17/2024 10:00,66461.25,67420.36,66410.01,67169.11,2414.65077
3/17/2024 11:00,67169.12,67515,66913.51,66955.49,1633.79938
3/17/2024 12:00,66955.49,67404.53,66436.92,66584.19,2073.68958
3/17/2024 13:00,66584.19,67481.09,66584.18,67127.11,2316.41043
3/17/2024 14:00,67127.11,67609.99,66892,67609.99,1543.12633
3/17/2024 15:00,67609.99,68111.45,67242.77,67965.5,2333.04501
3/17/2024 16:00,67965.51,68385.82,67769.86,68021.79,2381.11122
3/17/2024 17:00,68021.79,68693.75,67911.19,68550.22,1826.71113
3/17/2024 18:00,68550.22,68619.37,68029.85,68172.4,1584.56428
3/17/2024 19:00,68172.41,68571.1,68099.91,68536.73,897.15325
3/17/2024 20:00,68536.72,68666,68205.15,68269.06,1200.74147
3/17/2024 21:00,68269.05,68379.31,67953.35,68143.36,951.42245
3/17/2024 22:00,68143.36,68904.4,68143.35,68228.01,2169.28075
3/17/2024 23:00,68228.01,68655.17,68075.38,68393.48,1651.69684
3/18/2024 0:00,68393.47,68425.97,67286.82,67301.94,3045.95298
3/18/2024 1:00,67301.94,67775,66800,67630.46,2818.43844
3/18/2024 2:00,67630.45,68188.57,67400.01,67764.25,1720.86226
3/18/2024 3:00,67764.25,68150,67740.02,67972.01,1459.11148
3/18/2024 4:00,67972.01,68558.86,67704.01,68360.01,1771.49738
3/18/2024 5:00,68360.01,68956,68212.24,68693.43,2051.53199
3/18/2024 6:00,68693.43,68717.29,68400,68481.1,1212.42571
3/18/2024 7:00,68481.09,68481.1,68122.1,68218.38,1748.36192
3/18/2024 8:00,68218.38,68229.17,67300,68035.46,2834.6678
3/18/2024 9:00,68035.46,68226.73,67650,67843.98,2233.16686
3/18/2024 10:00,67843.98,68200,67700,68130,1633.57276
3/18/2024 11:00,68129.99,68483.96,68014.86,68253.4,1337.74118
3/18/2024 12:00,68253.39,68600,68027.32,68550.54,1971.31527
3/18/2024 13:00,68550.53,68627.81,67169.13,67552.39,4012.90338
3/18/2024 14:00,67552.4,67816.97,66644.15,66996.69,4171.54712
3/18/2024 15:00,66996.68,67482.11,66628.68,67467.19,3035.3768
3/18/2024 16:00,67467.19,68079.52,66968.95,67124.13,4358.50334
