date,open,high,low,close,volume,name
1/3/2006,126.7,129.44,124.23,128.87,6188700,GS
1/4/2006,127.35,128.91,126.38,127.09,4862000,GS
1/5/2006,126,127.32,125.61,127.04,3717600,GS
1/6/2006,127.29,129.25,127.29,128.84,4319600,GS
1/9/2006,128.5,130.62,128,130.39,4723500,GS
1/10/2006,130.05,132.95,130.02,132.03,5539800,GS
1/11/2006,131.45,133.8,131.42,131.97,4671400,GS
1/12/2006,131.4,133.21,131.38,132.25,3725500,GS
1/13/2006,132.02,133.66,131.9,133.26,2894900,GS
1/17/2006,131,133.13,130.59,132.59,3624600,GS
1/18/2006,131.06,132.68,131.01,131.85,4305400,GS
1/19/2006,132.72,134.82,132.71,133.82,5020700,GS
1/20/2006,132.85,134.06,131.25,131.44,5680100,GS
1/23/2006,131.64,134.18,131.64,132.87,3849400,GS
1/24/2006,132.63,134.09,132.34,133,3758000,GS
1/25/2006,133.65,134.04,132.46,133.56,3740500,GS
1/26/2006,133.01,138.36,133.01,137.4,4808300,GS
1/27/2006,137.93,139.75,137.1,138.94,3687900,GS
1/30/2006,139.55,140.64,138.71,139.87,3167900,GS
1/31/2006,139.73,141.86,138.45,141.25,4908100,GS
2/1/2006,141.4,142.95,140.43,141.71,3640600,GS
2/2/2006,142.27,143.77,141.4,142.52,3711000,GS
2/3/2006,141.55,143.12,140.7,142.74,4213900,GS
2/6/2006,142.61,144.1,141.6,142.82,3849300,GS
2/7/2006,142.35,143.31,139.48,139.48,5208000,GS
2/8/2006,140.1,141.93,139.32,141.14,4481400,GS
2/9/2006,141.14,142.85,140.49,140.85,3059500,GS
2/10/2006,140.67,141.85,137.8,140.81,4433100,GS
2/13/2006,139.65,141.8,139.15,139.65,2155200,GS
2/14/2006,141.2,142.32,138.77,141.78,3003200,GS
2/15/2006,142,145.5,141.4,145.14,4330700,GS
2/16/2006,146.1,146.35,144.21,145.9,2847500,GS
2/17/2006,146.19,146.22,144.06,145.54,2407300,GS
2/21/2006,145.56,145.75,143.01,143.45,2539800,GS
2/22/2006,143.45,145.53,143.23,145.53,2674200,GS
2/23/2006,145.61,145.61,143.79,143.96,2512500,GS
2/24/2006,143.05,145.4,143.05,144.16,2314700,GS
2/27/2006,144.81,145.25,143.34,143.82,2282200,GS
2/28/2006,143.6,144.16,141.11,141.29,3911700,GS
3/1/2006,141.98,143.74,141.56,143.15,2994900,GS
3/2/2006,143.07,144.86,142.24,144,2902300,GS
3/3/2006,143.5,147.48,143.1,146,4042700,GS
3/6/2006,146.54,147.08,144.31,145.02,2900600,GS
3/7/2006,144.37,144.46,143.17,144.28,2820600,GS
3/8/2006,143.55,144.67,141.26,142.49,3633100,GS
3/9/2006,142.66,143.4,141.2,141.7,2262100,GS
